component,version,declared_license,spdx_expression,site,license_file,risk_level,notes
LibreOffice,4.0.4 for windows,GNU LGPL 3,LGPL-3.0-only,https://pt-br.libreoffice.org,licenses/LGPL 3.txt,medium-copyleft,
Noa-Libre,0.3,GNU LGPL 2.1,LGPL-2.1-only,https://code.google.com/p/noa-libre/,licenses/LGPL 2.1.txt,medium-copyleft,
SevenZipJBinding,,GNU LGPL 2.1,LGPL-2.1-only,http://sevenzipjbind.sourceforge.net/,licenses/LGPL 2.1.txt,medium-copyleft,
JavaDBF,,GNU LGPL 3,LGPL-3.0-only,https://github.com/albfernandez/javadbf,licenses/LGPL 3.txt,medium-copyleft,
DockingFrames,,GNU LGPL 2.1,LGPL-2.1-only,http://www.docking-frames.org,licenses/LGPL 2.1.txt,medium-copyleft,
Zlib,,Zlib,Zlib,https://zlib.net/,licenses/ZLIB.txt,low,
JUnRAR,,UnRAR License,LicenseRef-UnRAR,https://github.com/edmund-wagner/junrar,licenses/JUNRAR.txt,high,"Licença não-OSI com restrição de uso para recriar algoritmo RAR"
Lottie-player,,MIT,MIT,https://github.com/LottieFiles/lottie-player/blob/master/LICENSE,licenses/LOTTIE-PLAYER.txt,low,
CaffViewer,,Freeware (non-Open-Source),LicenseRef-CaffViewer-Freeware,https://caff.de/projects/caffviewer/,licenses/CaffViewer.txt,high,"Licença proprietária/freeware; validar termos para redistribuição"
Leaflet,1.7.x,BSD 2 clause,BSD-2-Clause,https://leafletjs.com/,licenses/Leaflet1.7.txt,low,
Leaflet.markercluster,1.4.1,MIT,MIT,https://github.com/Leaflet/Leaflet.markercluster,licenses/Leaflet.markercluster.txt,low,
